プラットフォーム,ファイル名,コンテンツ,実績,情報提供料合計,年月,処理日時
au,SalesSummary_202506_OWD_detail.csv,OWD_eremaria_01,2800,1050.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_koike_01,1600,599.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_keiko_03,6100,2287.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_mermaid_01,2200,824.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_mokuren_01,2300,862.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_keiko_04,1800,675.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_keiko_02,1000,400.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_suehiro_01,1800,700.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_tshourei_01,1500,587.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_gyokusenhi_01,1000,375.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_sugano_02,3000,1124.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_isha_01,1200,450.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_tachibana_01,1300,487.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_ikai_01,4400,1682.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_rumikoi_01,3200,1230.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_koyanagi_01,3400,1305.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_narusawa_01,1300,487.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_aron_01,4900,1867.0,202506,2025-07-16 17:41:37
au合計,SalesSummary_202506_OWD_detail.csv,合計,96700,36352,202506,2025-07-16 17:41:37
line,【(株)アウトワード】LINE占いお支払通知書_2025年01月分.xls,JP,51964.125477272726,19053.893745253496,202501,2025-07-16 17:41:37
line合計,【(株)アウトワード】LINE占いお支払通知書_2025年01月分.xls,合計,51964,19054,202501,2025-07-16 17:41:37
line,【(株)アウトワード】LINE占いお支払通知書_2025年02月分.xls,JP,185587.9264090909,68050.26732812698,202502,2025-07-16 17:41:37
line合計,【(株)アウトワード】LINE占いお支払通知書_2025年02月分.xls,合計,185588,68050,202502,2025-07-16 17:41:37
line,【(株)アウトワード】LINE占いお支払通知書_2025年03月分.xls,JP,45655.886454545456,16740.826509833998,202503,2025-07-16 17:41:37
line合計,【(株)アウトワード】LINE占いお支払通知書_2025年03月分.xls,合計,45656,16741,202503,2025-07-16 17:41:37
line,【(株)アウトワード】LINE占いお支払通知書_2025年04月分.xls,JP,39492.223977272726,14480.7717346425,202504,2025-07-16 17:41:37
line合計,【(株)アウトワード】LINE占いお支払通知書_2025年04月分.xls,合計,39492,14481,202504,2025-07-16 17:41:37
line,【(株)アウトワード】LINE占いお支払通知書_2025年05月分.xls,JP,22446.49711363636,8230.5468826455,202505,2025-07-16 17:41:37
line合計,【(株)アウトワード】LINE占いお支払通知書_2025年05月分.xls,合計,22446,8231,202505,2025-07-16 17:41:37
