番組ID,実績,CP売上負担額合計,情報提供料合計,ファイル名
OWD_suehiro_01,3000,50,1150.0,SalesSummary_202402_OWD_detail.csv
OWD_ychigumi_01,2000,50,750.0,SalesSummary_202402_OWD_detail.csv
OWD_yuki_01,500,13,187.0,SalesSummary_202402_OWD_detail.csv
OWD_Milla_01,13300,274,5046.0,SalesSummary_202403_OWD_detail.csv
OWD_aiga_01,800,20,300.0,SalesSummary_202403_OWD_detail.csv
OWD_aokitomo_01,5200,326,1754.0,SalesSummary_202403_OWD_detail.csv
OWD_aron_01,2400,40,920.0,SalesSummary_202403_OWD_detail.csv
OWD_asuru_01,2300,58,862.0,SalesSummary_202403_OWD_detail.csv
OWD_chazz_01,2600,66,974.0,SalesSummary_202403_OWD_detail.csv
OWD_chiki_01,1650,42,618.0,SalesSummary_202403_OWD_detail.csv
OWD_enseisyu_01,3000,55,1145.0,SalesSummary_202403_OWD_detail.csv
OWD_eremaria_01,6300,125,2395.0,SalesSummary_202403_OWD_detail.csv
OWD_fujita_01,3200,80,1200.0,SalesSummary_202403_OWD_detail.csv
OWD_isha_01,6880,172,2580.0,SalesSummary_202403_OWD_detail.csv
OWD_kairi_01,8800,165,3355.0,SalesSummary_202403_OWD_detail.csv
OWD_kasya_01,2200,55,825.0,SalesSummary_202403_OWD_detail.csv
OWD_keiko_01,49700,1008,18872.0,SalesSummary_202403_OWD_detail.csv
OWD_keiko_03,1400,33,527.0,SalesSummary_202403_OWD_detail.csv
OWD_keiko_04,6800,156,2564.0,SalesSummary_202403_OWD_detail.csv
OWD_kiko_01,4800,120,1800.0,SalesSummary_202403_OWD_detail.csv
OWD_klara_01,1300,33,487.0,SalesSummary_202403_OWD_detail.csv
OWD_koike_01,3300,66,1254.0,SalesSummary_202403_OWD_detail.csv
OWD_koyanagi_01,2100,53,787.0,SalesSummary_202403_OWD_detail.csv
OWD_macalon_01,10800,753,3567.0,SalesSummary_202403_OWD_detail.csv
OWD_miesha_01,3700,94,1386.0,SalesSummary_202403_OWD_detail.csv
OWD_mikomaria_01,3200,55,1225.0,SalesSummary_202403_OWD_detail.csv
OWD_miku_02,1200,30,450.0,SalesSummary_202403_OWD_detail.csv
OWD_narusawa_01,2600,66,974.0,SalesSummary_202403_OWD_detail.csv
OWD_niutouko_01,2000,50,750.0,SalesSummary_202403_OWD_detail.csv
OWD_okada_01,1300,33,487.0,SalesSummary_202403_OWD_detail.csv
OWD_ophelia_01,3000,76,1124.0,SalesSummary_202403_OWD_detail.csv
OWD_reirin_01,6000,152,2248.0,SalesSummary_202403_OWD_detail.csv
